ウテロン錠５ｍｇ,2590004F1010
セレナール散１０％,1124013B1031
セレナール錠１０　１０ｍｇ,1124013F2064
セレナール錠５　５ｍｇ,1124013F1033
セレネース錠１ｍｇ,1179020F2038
セレネース錠３ｍｇ,1179020F5037
テトラミド錠１０ｍｇ,1179033F1020
トリラホン散１％,1172007B1033
ドグマチール錠１００ｍｇ,1179016F1124
ドグマチール錠２００ｍｇ,1179016F2090
ニューレプチル錠１０ｍｇ,1172005F2067
ニューレプチル錠２５ｍｇ,1172005F3047
ニューレプチル錠５ｍｇ,1172005F1044
ノリトレン錠１０ｍｇ,1179004F1024
ハロステン錠１ｍｇ,1179020F2046
ハロステン錠２ｍｇ,1179020F4030
ヒルナミン錠（５０ｍｇ）,1172014F3038
ヒルナミン錠（５ｍｇ）,1172014F1027
フルメジン糖衣錠（０．２５）　０．２５ｍｇ,1172009F1026
フルメジン糖衣錠（０．５）　０．５ｍｇ,1172009F2022
フルメジン糖衣錠（１）　１ｍｇ,1172009F3029
ベタナミン錠２５ｍｇ,1179023F2023
ベタナミン錠５０ｍｇ,1179023F3020
ペルフェナジン錠　２ｍｇ,1172006F1014
ペルフェナジン錠　４ｍｇ,1172006F2010
ペルフェナジン錠　８ｍｇ,1172006F3017
ホーリット錠２０ｍｇ,1179011F1024
ホーリット錠４０ｍｇ,1179011F2020
ホリゾン錠２ｍｇ,1124017F2151
ホリゾン錠５ｍｇ,1124017F4162
プロクロルペラジンマレイン酸塩錠　５ｍｇ,1172010F1010
ペルフェナジンマレイン酸塩錠　２ｍｇ,1172013F1014
ペルフェナジンマレイン酸塩錠　４ｍｇ,1172013F2010
ペルフェナジンマレイン酸塩錠　８ｍｇ,1172013F3017
ルジオミール錠１０ｍｇ,1179008F1022
ルジオミール錠２５ｍｇ,1179008F2029
レキソタン錠１　１ｍｇ,1124020F1025
レキソタン錠２　２ｍｇ,1124020F2030
レキソタン錠５　５ｍｇ,1124020F4032
レスミット錠２　２ｍｇ,1124021F1054
レスミット錠５　５ｍｇ,1124021F2166
ロドピン細粒１０％,1179024C1033
ロドピン細粒５０％,1179024C2021
ロドピン錠１００ｍｇ,1179024F3024
ロドピン錠２５ｍｇ,1179024F1030
ロドピン錠５０ｍｇ,1179024F2036
ワイパックス錠０．５　０．５ｍｇ,1124022F1067
ワイパックス錠１．０　１ｍｇ,1124022F2071
アミトリプチリン塩酸塩錠　１０ｍｇ,1179002F1017
アミトリプチリン塩酸塩錠　２５ｍｇ,1179002F2013
クロルプロマジン塩酸塩錠　１２．５ｍｇ,1171001F1014
クロルプロマジン塩酸塩錠　２５ｍｇ,1171001F2010
クロルプロマジン塩酸塩錠　５０ｍｇ,1171001F3017
クロルプロマジン塩酸塩錠　１００ｍｇ,1171001F4013
コンスタン０．４ｍｇ錠,1124023F1029
コンスタン０．８ｍｇ錠,1124023F2025
ソラナックス０．４ｍｇ錠,1124023F1037
ソラナックス０．８ｍｇ錠,1124023F2033
デパス錠０．５ｍｇ,1179025F1026
デパス錠１ｍｇ,1179025F2022
トロペロン錠０．５ｍｇ,1179026F1020
トロペロン錠１ｍｇ,1179026F2027
トロペロン錠３ｍｇ,1179026F3023
メダゼパム錠２（ツルハラ）　２ｍｇ,1124021F1046
メダゼパム錠５（ツルハラ）　５ｍｇ,1124021F2123
メレックス錠０．５ｍｇ,1124025F1028
メレックス錠１ｍｇ,1124025F2024
インプロメン錠１ｍｇ,1179028F1020
インプロメン錠３ｍｇ,1179028F2026
インプロメン錠６ｍｇ,1179028F3022
グランダキシン錠５０　５０ｍｇ,1124026F1022
アモキサン細粒１０％,1179001C1024
イミプラミン塩酸塩錠　１０ｍｇ,1174006F1019
イミプラミン塩酸塩錠　２５ｍｇ,1174006F2015
クロフェクトン錠５０ｍｇ,1179030F3020
クロルジアゼポキシド散　１％,1124028B1011
クロルジアゼポキシド散　１０％,1124028B2018
クロルジアゼポキシド錠　５ｍｇ,1124028F1013
クロルジアゼポキシド錠　１０ｍｇ,1124028F2010
スルピリド錠２００ｍｇ（ＴＹＫ）,1179016F2066
スルピリド錠１００ｍｇ（ＴＹＫ）,1179016F1094
メイラックス錠１ｍｇ,1124029F1026
メイラックス錠２ｍｇ,1124029F2022
バルネチール錠５０　５０ｍｇ,1179032F1026
バルネチール錠１００　１００ｍｇ,1179032F2022
バルネチール錠２００　２００ｍｇ,1179032F3029
テトラミド錠３０ｍｇ,1179033F2027
セトウス錠２５ｍｇ,1179024F1021
セトウス錠５０ｍｇ,1179024F2028
コントミン糖衣錠１２．５ｍｇ,1171001F1014
コントミン糖衣錠２５ｍｇ,1171001F2010
コントミン糖衣錠５０ｍｇ,1171001F3017
コントミン糖衣錠１００ｍｇ,1171001F4013
トリラホン錠２ｍｇ,1172006F1014
トリラホン錠４ｍｇ,1172006F2010
トリラホン錠８ｍｇ,1172006F3017
ノバミン錠５ｍｇ,1172010F1010
コントール散１％,1124028B1046
コントール散１０％,1124028B2018
バランス散１０％,1124028B2018
５ｍｇコントール錠,1124028F1013
バランス錠５ｍｇ,1124028F1013
１０ｍｇコントール錠,1124028F2010
バランス錠１０ｍｇ,1124028F2010
イミドール糖衣錠（１０）　１０ｍｇ,1174006F1019
トフラニール錠１０ｍｇ,1174006F1019
イミドール糖衣錠（２５）　２５ｍｇ,1174006F2015
トフラニール錠２５ｍｇ,1174006F2015
トリプタノール錠１０　１０ｍｇ,1179002F1017
トリプタノール錠２５　２５ｍｇ,1179002F2013
クレミン顆粒１０％,1179035D1029
クレミン錠１０ｍｇ,1179035F1020
クレミン錠２５ｍｇ,1179035F3022
エミレース錠３ｍｇ,1179036F1024
エミレース錠１０ｍｇ,1179036F2020
プロチアデン錠２５　２５ｍｇ,1179027F1025
デジレル錠２５　２５ｍｇ,1179037F1037
デジレル錠５０　５０ｍｇ,1179037F2033
レスリン錠２５　２５ｍｇ,1179037F1029
レスリン錠５０　５０ｍｇ,1179037F2025
クロンモリン錠１０ｍｇ,1179008F1030
クロンモリン錠２５ｍｇ,1179008F2037
クロンモリン錠５０ｍｇ,1179008F3033
デゾラム錠０．５ｍｇ,1179025F1093
デゾラム錠１ｍｇ,1179025F2073
クレミン錠５０ｍｇ,1179035F4029
グラマリール細粒１０％,1190004C1025
グラマリール錠２５ｍｇ,1190004F1021
グラマリール錠５０ｍｇ,1190004F2028
サノレックス錠０．５ｍｇ,1190008F1020
アミノ安息香酸エチル,1212001X1014
アボビスカプセル２５　２５ｍｇ,1231010M1020
アボビスカプセル５０　５０ｍｇ,1231010M2027
ワゴスチグミン散（０．５％）,1233001B1025
ジスチグミン臭化物錠　５ｍｇ,1231014F1011
ギャバロン錠１０ｍｇ,1249006F2026
ギャバロン錠５ｍｇ,1249006F1020
コスパノン錠４０ｍｇ,1249007F1032
コスパノン錠８０ｍｇ,1249007F2020
コリオパン錠１０ｍｇ,1242003F2021
シンメトレル錠１００ｍｇ,1161001F2057
シンメトレル錠５０ｍｇ,1161001F1050
パーキン糖衣錠（１０）　１０ｍｇ,1163001F1020
パーキン糖衣錠（５０）　５０ｍｇ,1163001F2027
ミオナール錠５０ｍｇ,1249009F1090
ミオナール顆粒１０％,1249009D1030
リオレサール錠１０ｍｇ,1249006F2018
リオレサール錠５ｍｇ,1249006F1011
ロートエキス散,1249351B1010
トリヘキシフェニジル塩酸塩錠　２ｍｇ,1169001F1016
パパベリン塩酸塩,1243001X1010
テルネリン錠１ｍｇ,1249010F1026
アチネス錠５０　５０ｍｇ,1249009F1023
エペソ錠５０ｍｇ,1249009F1031
アーテン錠（２ｍｇ）,1169001F1024
パーキネス錠２　２ｍｇ,1169001F1016
バクロフェン錠　５ｍｇ,1249006F1011
バクロフェン錠　１０ｍｇ,1249006F2018
硫酸アトロピン「ホエイ」,1242008X1058
テルネリン顆粒０．２％,1249010D1025
ロートエキス散「ホエイ」,1249351B1141
ピレチア錠（２５ｍｇ）,4413002F2054
ピレチア錠（５ｍｇ）,4413002F1031
ポララミン錠２ｍｇ,4419002F1027
クロルフェニラミンマレイン酸塩,4419003X1019
クロルフェニラミンマレイン酸塩散　１％,4419003B1011
クロルフェニラミンマレイン酸塩錠　２ｍｇ,4419003F1013
クロルフェニラミンマレイン酸塩錠　４ｍｇ,4419003F2010
アミノフィリン水和物,2115001X1015
カフェイン水和物,2115004X1019
ジギトキシン錠　０．０２５ｍｇ,2113001F1015
ジギトキシン錠　０．１ｍｇ,2113001F2011
ジゴキシン錠　０．２５ｍｇ,2113003F1014
ノイキノン錠１０ｍｇ,2119003F2332
ノイキノン錠５ｍｇ,2119003F1093
ノイキノン糖衣錠１０ｍｇ,2119003F2340
ラナトシドＣ錠　０．２５ｍｇ,2113006F1018
安息香酸ナトリウムカフェイン,2115003X1014
エチレフリン塩酸塩錠　５ｍｇ,2119001F1019
カルグート錠５　５ｍｇ,2119004F1020
カルグート錠１０　１０ｍｇ,2119004F2027
無水カフェイン,2115009X1011
ジゴシン錠０．２５ｍｇ,2113003F1014
「純生」無水カフェイン,2115009X1011
アンナカ「ホエイ」,2115003X1014
カフェイン「ホエイ」,2115004X1078
アセタノールカプセル１００　１００ｍｇ,2123001M1029
インデラル錠１０ｍｇ,2123008F1048
カルビスケン錠５ｍｇ,2123009F3096
ミケラン錠５ｍｇ,2123005F1141
プロカインアミド塩酸塩錠　１２５ｍｇ,2121001F1017
プロカインアミド塩酸塩錠　２５０ｍｇ,2121001F2013
キニジン硫酸塩水和物,2122001X1010
アセタノールカプセル２００　２００ｍｇ,2123001M2025
メキシチールカプセル５０ｍｇ,2129003M1021
メキシチールカプセル１００ｍｇ,2129003M2028
ナディック錠３０ｍｇ,2123015F1021
ナディック錠６０ｍｇ,2123015F2028
アスペノンカプセル１０　１０ｍｇ,2129004M1026
アスペノンカプセル２０　２０ｍｇ,2129004M2022
プロノン錠１５０ｍｇ,2129006F1026
シベノール錠５０ｍｇ,2129007F1020
シベノール錠１００ｍｇ,2129007F2027
アミサリン錠１２５ｍｇ,2121001F1017
アミサリン錠２５０ｍｇ,2121001F2013
プロノン錠１００ｍｇ,2129006F2022
サンリズムカプセル２５ｍｇ,2129008M1024
サンリズムカプセル５０ｍｇ,2129008M2020
タンボコール錠５０ｍｇ,2129009F1020
タンボコール錠１００ｍｇ,2129009F2026
アルセノール錠２５　２５ｍｇ,2123011F1015
アルセノール錠５０　５０ｍｇ,2123011F2011
アルマイラー錠２５　２５ｍｇ,2123011F1015
アルマイラー錠５０　５０ｍｇ,2123011F2011
クシセミン錠５０ｍｇ,2123011F2011
アンカロン錠１００　１００ｍｇ,2129010F1022
硫酸キニジン「ホエイ」,2122001X1010
Ｋ．Ｃ．Ｌ．エリキシル（１０Ｗ／Ｖ％）　１０％,3229002S1026
アセタゾラミド,2134001X1010
アルダクトンＡ錠５０ｍｇ,2133001F2057
フルイトラン錠２ｍｇ,2132003F1257
塩化カリウム,3229001X1010
酢酸カリウム液「司生堂」,3229003S1039
ダイアモックス末,2134001X1010
ダイアート錠３０ｍｇ,2139008F2028
カプトリル錠１２．５ｍｇ,2144001F1020
カプトリル錠２５ｍｇ,2144001F2026
セロケン錠２０ｍｇ,2149010F1025
トランデート錠１００ｍｇ,2149009F2037
トランデート錠５０ｍｇ,2149009F1030
ノルモナール錠１５ｍｇ,2149007F1023
ミニプレス錠０．５ｍｇ,2149002F1128
ミニプレス錠１ｍｇ,2149002F2159
メチルドパ錠　１２５ｍｇ,2145001F1019
メチルドパ錠　２５０ｍｇ,2145001F2015
レセルピン錠　０．２５ｍｇ,2143006F2013
ロプレソール錠２０ｍｇ,2149010F1033
ロプレソール錠４０ｍｇ,2149010F2072
デタントール錠０．５ｍｇ,2149015F1028
デタントール錠１ｍｇ,2149015F2024
レニベース錠２．５　２．５ｍｇ,2144002F1024
レニベース錠５　５ｍｇ,2144002F2020
レニベース錠１０　１０ｍｇ,2144002F3027
ブロクリン－Ｌカプセル５ｍｇ,2149011N1024
ブロクリン－Ｌカプセル１５ｍｇ,2149011N2020
ヒドララジン塩酸塩散　１０％,2142004B2015
ヒドララジン塩酸塩錠　１０ｍｇ,2142004F1010
ヒドララジン塩酸塩錠　２５ｍｇ,2142004F2017
ヒドララジン塩酸塩錠　５０ｍｇ,2142004F3013
セタプリル錠１２．５ｍｇ,2144003F1029
セタプリル錠２５ｍｇ,2144003F2025
ローガン錠１０ｍｇ,2149018F1021
アデカット７．５ｍｇ錠,2144004F1023
アデカット１５ｍｇ錠,2144004F2020
アデカット３０ｍｇ錠,2144004F3026
ニバジール錠２ｍｇ,2149022F1028
ニバジール錠４ｍｇ,2149022F2024
ハイトラシン錠０．２５ｍｇ,2149023F1022
ハイトラシン錠０．５ｍｇ,2149023F2029
ハイトラシン錠１ｍｇ,2149023F3025
ハイトラシン錠２ｍｇ,2149023F4021
バソメット錠０．２５ｍｇ,2149023F1030
バソメット錠０．５ｍｇ,2149023F2037
バソメット錠１ｍｇ,2149023F3033
バソメット錠２ｍｇ,2149023F4030
カルデナリン錠０．５ｍｇ,2149026F1026
カルデナリン錠１ｍｇ,2149026F2022
カルデナリン錠２ｍｇ,2149026F3029
カルデナリン錠４ｍｇ,2149026F4025
ハイパジールコーワ錠６　６ｍｇ,2149021F2020
カルスロット錠５　５ｍｇ,2149027F1020
カルスロット錠１０　１０ｍｇ,2149027F2027
カルスロット錠２０　２０ｍｇ,2149027F3023
インヒベース錠０．２５　０．２５ｍｇ,2144005F1028
インヒベース錠０．５　０．５ｍｇ,2144005F2024
インヒベース錠１　１ｍｇ,2144005F3020
テナキシル錠１ｍｇ,2149012F1024
ナトリックス錠２　２ｍｇ,2149012F2020
アプレゾリン錠１０ｍｇ,2142004F1010
アプレゾリン錠２５ｍｇ,2142004F2017
アプレゾリン錠５０ｍｇ,2142004F3013
アポプロン散０．１％,2143006B2011
アルドメット錠１２５　１２５ｍｇ,2145001F1019
メチルドパ錠（ツルハラ）１２５　１２５ｍｇ,2145001F1019
アルドメット錠２５０　２５０ｍｇ,2145001F2015
メチルドパ錠（ツルハラ）２５０　２５０ｍｇ,2145001F2015
ゼストリル錠５　５ｍｇ,2144006F1022
ゼストリル錠１０　１０ｍｇ,2144006F2029
ゼストリル錠２０　２０ｍｇ,2144006F3025
ロンゲス錠５ｍｇ,2144006F1030
ロンゲス錠１０ｍｇ,2144006F2037
ロンゲス錠２０ｍｇ,2144006F3033
テナキシル錠２ｍｇ,2149012F2039
セレクトール錠１００ｍｇ,2149029F1020
セレクトール錠２００ｍｇ,2149029F2026
ヒポカ５ｍｇカプセル,2149030N1027
ヒポカ１０ｍｇカプセル,2149030N2023
ヒポカ１５ｍｇカプセル,2149030N3020
ケルロング錠５ｍｇ,2149031F1027
ケルロング錠１０ｍｇ,2149031F2023
アーチスト錠１０ｍｇ,2149032F1021
アーチスト錠２０ｍｇ,2149032F2028
チバセン錠２．５ｍｇ,2144007F1027
チバセン錠５ｍｇ,2144007F2023
チバセン錠１０ｍｇ,2144007F3020
タナトリル錠２．５　２．５ｍｇ,2144008F1021
タナトリル錠５　５ｍｇ,2144008F2028
タナトリル錠１０　１０ｍｇ,2144008F3024
ランデル錠１０　１０ｍｇ,2149034F1020
ランデル錠２０　２０ｍｇ,2149034F2027
エースコール錠１ｍｇ,2144009F1026
エースコール錠２ｍｇ,2144009F2022
エースコール錠４ｍｇ,2144009F3029
メトリジン錠２ｍｇ,2160002F1028
コメリアンコーワ錠５０　５０ｍｇ,2171005F1068
ニトロールＲカプセル２０ｍｇ,2171011N1050
ニトログリセリン錠　０．３ｍｇ,2171013K1010
ヨウリダモール錠２５　２５ｍｇ,2171010F2499
ロコルナール錠１００ｍｇ,2171012F2315
硝酸イソソルビド錠　５ｍｇ,2171016F1015
シグマート錠２．５ｍｇ,2171017F1028
シグマート錠５ｍｇ,2171017F2024
アダラートＬ錠１０ｍｇ,2171014G1020
アダラートＬ錠２０ｍｇ,2171014G2026
セパミット－Ｒカプセル１０　１０ｍｇ,2171014N1029
コメリアンコーワ錠１００　１００ｍｇ,2171005F2021
ヘルベッサー錠６０　６０ｍｇ,2171006F2026
セパミット－Ｒカプセル２０　２０ｍｇ,2171014N2025
バイミカード錠５ｍｇ,2171019F1027
バイロテンシン錠５ｍｇ,2171020F1020
バイロテンシン錠１０ｍｇ,2171020F2026
コニール錠２　２ｍｇ,2171021F1024
コニール錠４　４ｍｇ,2171021F2020
コニール錠８　８ｍｇ,2171021F3027
バイミカード錠１０ｍｇ,2171019F2023
ヘルラートＬ錠２０　２０ｍｇ,2171014G2140
ノルバスク錠２．５ｍｇ,2171022F1029
ノルバスク錠５ｍｇ,2171022F2025
アイトロール錠１０ｍｇ,2171023F1023
アイトロール錠２０ｍｇ,2171023F2020
ＭＤＳコーワ錠３００　３００ｍｇ,2189003F2035
クロフィブラートカプセル　２５０ｍｇ,2183002M1013
クロフィブラートカプセル　５００ｍｇ,2183002M2010
リポクリン錠２００　２００ｍｇ,2183001F1060
ペリシット錠１２５ｍｇ,2189005F1020
ペリシット錠２５０ｍｇ,2189005F2026
リポバス錠５　５ｍｇ,2189011F1025
メバロチン細粒１％,2189010C2020
メバロチン錠１０　１０ｍｇ,2189010F2027
ニコモール錠　２００ｍｇ,2189004F1017
ペルジピン錠１０ｍｇ,2149019F1069
アポノール錠１０　１０ｍｇ,2190005F1020
セロクラール錠２０ｍｇ,2190005F2051
アポノール錠２０　２０ｍｇ,2190005F2027
ニコ２００ソフトカプセル　２００ｍｇ,2190006M2110
ポリスチレンスルホン酸カルシウム,2190016X1016
ニスタジール錠２０　２０ｍｇ,2149019F2146
ニスタジール錠１０　１０ｍｇ,2149019F1050
リズミック錠１０ｍｇ,2190022F1024
カリセラム末,2190016X1059
アスベリン錠２０　２０ｍｇ,2249003F2019
アンモニア・ウイキョウ精,2232001X1011
オピセゾールコデイン液（日医工）,2249103S1027
キョウニン水,2241001X1010
セネガシロップ,2231001Q1010
ノスカピン,2222001A1012
ペクタイト錠１００ｍｇ,2233003F2078
メジコン錠１５ｍｇ,2223001F2099
レスプレン錠３０ｍｇ,2249001F3032
エフェドリン塩酸塩,2221002X1012
エフェドリン塩酸塩錠　２５ｍｇ,2221002F1017
アゼプチン錠０．５ｍｇ,4490004F1021
アゼプチン錠１ｍｇ,4490004F2028
ソルファ５０ｍｇ錠,4490006F2027
サリパラ液,2241003S1020
テオロング顆粒５０％,2251001D2025
テオロング錠５０ｍｇ,2251001F1038
テオロング錠１００ｍｇ,2251001F2050
テオロング錠２００ｍｇ,2251001F3049
ムコダインシロップ５％,2233002Q1035
ケタスカプセル１０ｍｇ,4490010N1021
ソルファ２５ｍｇ錠,4490006F1020
Ｃ－チステンシロップ５％,2233002Q1027
ヱフェドリン「ナガヰ」錠２５ｍｇ,2221002F1017
メチエフ散１０％,2221003B2067
ムコブリン錠１５ｍｇ,2239001F1335
オピセゾールＡ液,2249107S1025
チペピジンヒベンズ酸塩錠　１０ｍｇ,2249003F1012
チペピジンヒベンズ酸塩錠　２０ｍｇ,2249003F2019
リン酸コデイン散１％「ホエイ」,2242001B2017
リン酸ジヒドロコデイン散１％「ホエイ」,2242002B2011
チルミン錠１００　１００ｍｇ,2251001F2093
ポルボノールドライシロップ０．２５％,2252006R1026
タンナルビン「ホエイ」,2312001X1014
スルピリド細粒５０％「アメル」,2329009C3108
タガメット細粒２０％,2325001C1053
タガメット錠２００ｍｇ,2325001F1211
ドグマチール細粒１０％,2329009C2055
ドグマチール細粒５０％,2329009C3078
ドグマチール錠５０ｍｇ,2329009F1110
セルベックスカプセル５０ｍｇ,2329012M1021
セルベックス細粒１０％,2329012C1026
ガスター散１０％,2325003B1022
ガスター錠２０ｍｇ,2325003F2020
アプレース錠１００ｍｇ,2329015F2022
イサロン顆粒２５％,2329002D3020
タガメット錠４００ｍｇ,2325001F2048
ガスター錠１０ｍｇ,2325003F1024
スルピリド錠５０ｍｇ（ＴＹＫ）,2329009F1098
ガスロンＮ細粒０．８％,2329020C1020
ガスロンＮ錠２ｍｇ,2329020F1027
ガスロンＮ錠４ｍｇ,2329020F2023
ストマチジン錠２００ｍｇ,2325001F1181
ザンタック錠７５　７５ｍｇ,2325002F2026
タケプロンカプセル１５　１５ｍｇ,2329023M1020
タケプロンカプセル３０　３０ｍｇ,2329023M2026
サイトテック錠２００　２００μｇ,2329024F1025
ＫＭ散,2339185B1024
ＹＭ散「イセイ」,2339193B1029
オリザチーム顆粒　５０％,2339003D1029
ケイヒ油,2334001X1011
コンズランゴ流エキス,2333002X1019
ジアスターゼ,2331003X1019
センブリ・重曹散,2339106B1011
センブリ散（丸石）,2333003B1059
トウヒシロップ,2333004Q1013
トウヒチンキ,2333004S1010
パンクレアチン,2331006X1012
ビアサン,2339107X1021
ビットサン,2339105X1030
ベルサン,2339195X1025
ホミカエキス,2333005X1012
ホミカエキス散,2333005B1015
ホミカチンキ,2333006X1017
ポリトーゼカプセル,2339166M1022
ポリトーゼ顆粒,2339165D1028
乾燥酵母,2332001X1017
含糖ペプシン,2331001X1010
希塩酸,2335001X1019
苦味チンキ,2333001X1014
健胃散「スズ」,2339101B1027
健栄の健胃散,2339101B1035
重散,2339105X1022
ケイラーゼＡカプセル,2339209M1022
ケイラーゼＳ顆粒,2339226D1026
ジアスターゼ「ニッコー」,2331003X1230
ジアスターゼ「ヨシダ」,2331003X1264
パンクレアチン「ヨシダ」,2331006X1195
乾燥酵母エビオス,2332001X1084
センブリ・重曹散「ヨシダ」,2339106B1194
日粉センブリ・重曹散Ｎ,2339106B1054
センブリ・重曹散「コザカイ・Ｍ」,2339106B1011
センブリ・重曹散「メタル」,2339106B1160
ジアスターゼ「ホエイ」,2331003X1140
パンクレアチン「ホエイ」,2331006X1101
ホミカエキス散「ホエイ」,2333005B1015
ケイ酸マグネシウム,2344001X1018
ボレイ末,5100169A1010
乾燥水酸化アルミニウムゲル,2343005X1019
乾燥水酸化アルミニウムゲル細粒,2343005C1017
合成ケイ酸アルミニウム,2343001X1010
酸化マグネシウム,2344002X1012
炭酸水素ナトリウム,2344004X1011
沈降炭酸カルシウム,2344007X1015
天然ケイ酸アルミニウム,2343002X1015
合成ケイ酸アルミ「ヨシダ」,2343001X1185
重質酸化マグネシウム「ニッコー」,2344002X1012
炭酸水素ナトリウム恵美須,2344004X1011
炭酸水素ナトリウム「カナダ」,2344004X1011
炭酸水素ナトリウム「昭和」（Ｍ）,2344004X1011
炭酸水素ナトリウム「ヨシダ」,2344004X1402
炭酸マグネシウム「ニッコー」,2344006X1169
沈降炭酸カルシウム恵美須,2344007X1104
沈降炭酸カルシウム「カナダ」,2344007X1015
重質酸化マグネシウム「三恵」,2344002X1071
重質酸化マグネシウム「ホエイ」,2344002X1136
重曹「ホエイ」,2344004X1224
カスカラサグラダ流エキス（司生堂）,2354001X1022
ヒマシ油,2356001X1019
ヨーデルＳ糖衣錠－８０　８０ｍｇ,2354002F2028
加香ヒマシ油,2356002X1013
人工カルルス塩「コザカイ・Ｍ」,2359109B1077
人工カルルス塩「ヤマゼン」,2359109B1115
複方甘草散「スズ」,2359106B1022
硫酸カリウム,2355001X1011
硫酸マグネシウム水和物,2355002X1016
硫酸マグネシウム「カナダ」,2355002X1016
ヒマシ油「カナダ」,2356001X1019
ヒマシ油「ニッコー」,2356001X1248
ヒマシ油「ヨシダ」,2356001X1264
カルメロースナトリウム,2359001X2017
ガスコン錠４０ｍｇ,2318001F1063
キョウベリン錠１００　１００ｍｇ,2314002F2022
タンニン酸アルブミン,2312001X1014
ビオフェルミンＲ錠,2316004F1020
フソウラクトミン末,2316012A1078
ミヤＢＭ細粒,2316009C1026
ミヤＢＭ錠,2316009F1022
乳酸,2319002X1010
薬用炭,2319003X1014
ガスコン錠８０ｍｇ,2318001F3023
ガスオール錠４０ｍｇ「陽進」,2318001F1047
ビオラクチス散,2316005B1022
次硝酸ビスマス「ニッコー」,2315002X1215
テルペラン錠１０　１０ｍｇ,2399004F2029
ナウゼリン錠１０　１０ｍｇ,2399005F2023
ナウゼリン錠５　５ｍｇ,2399005F1027
ナウゼリン細粒１％,2399005C1020
ゾフラン錠２　２ｍｇ,2391001F1020
ゾフラン錠４　４ｍｇ,2391001F2027
チアマゾール錠　５ｍｇ,2432001F1017
プロピルチオウラシル錠　５０ｍｇ,2432002F1011
リオチロニンナトリウム錠　５μｇ,2431003F1019
リオチロニンナトリウム錠　２５μｇ,2431003F2015
レボチロキシンナトリウム５０μｇ錠,2431004F1013
乾燥甲状腺,2431001X1015
５ｍｃｇチロナミン錠　５μｇ,2431003F1019
２５ｍｃｇチロナミン錠　２５μｇ,2431003F2015
プリモボラン錠５ｍｇ,2449003F1021
プレドニゾロン錠　５ｍｇ,2456001F1019
レダコート錠４ｍｇ,2454003F1030
プレドニゾロン,2456001T1012
プレドニン錠５ｍｇ,2456001F1019
メチルテストステロン錠　２５ｍｇ,2462001F1016
エストリール錠１００γ　０．１ｍｇ,2475001F1014
エストリール錠１ｍｇ（持田）,2475001F3033
エチニルエストラジオール錠　０．５ｍｇ,2474001F1017
ノアルテン錠（５ｍｇ）,2479002F1026
ヒスロン錠５　５ｍｇ,2478002F2033
プレマリン錠０．６２５ｍｇ,2479004F1033
プロスタール錠２５　２５ｍｇ,2478001F2179
ホーリン錠１ｍｇ,2475001F3050
エストリール錠０．５ｍｇ,2475001F2010
エストリオール錠　０．１ｍｇ,2475001F1014
エストリオール錠　０．５ｍｇ,2475001F2010
エストリオール錠　１ｍｇ,2475001F3017
オペプリム　５００ｍｇ,2499006M1026
クロミフェンクエン酸塩錠　５０ｍｇ,2499009F1012
エルゴメトリンマレイン酸塩錠　０．５ｍｇ,2531001F1015
メチルエルゴメトリンマレイン酸塩錠　０．１２５ｍｇ,2531002F1010
セルニルトン錠,2590003F1023
ポラキス錠２　２ｍｇ,2590005F1022
ポラキス錠３　３ｍｇ,2590005F2029
ポラキス錠１　１ｍｇ,2590005F3025
バップフォー錠１０　１０ｍｇ,2590007F1021
バップフォー錠２０　２０ｍｇ,2590007F2028
レクチゾール錠２５ｍｇ,2699003F1024
セファランチン錠１ｍｇ,2900001F1029
アルファロールカプセル０．２５μｇ,3112001M1046
アルファロールカプセル０．５μｇ,3112001M2069
アルファロールカプセル１μｇ,3112001M3065
アルファロールカプセル３μｇ,3112001M4037
肝油,3113001X1015
ロカルトロールカプセル０．２５　０．２５μｇ,3112004M1023
ロカルトロールカプセル０．５　０．５μｇ,3112004M2020
トヨファロールカプセル０．２５　０．２５μｇ,3112001M1119
ワークミンカプセル０．２５　０．２５μｇ,3112001M1135
アルカドールカプセル０．５　０．５μｇ,3112001M2018
アルシオドールカプセル０．５μｇ,3112001M2018
トヨファロールカプセル０．５　０．５μｇ,3112001M2018
ワークミンカプセル０．５　０．５μｇ,3112001M2182
アルカドールカプセル１．０　１μｇ,3112001M3014
アルシオドールカプセル１μｇ,3112001M3014
トヨファロールカプセル１．０　１μｇ,3112001M3014
ワークミンカプセル１．０　１μｇ,3112001M3197
２５ｍｇアリナミンＦ糖衣錠,3122007F2039
５０ｍｇアリナミンＦ糖衣錠,3122007F3027
５ｍｇアリナミンＦ糖衣錠,3122007F1024
ジセタミン錠２５　２５ｍｇ,3122001F1027
ノイビタ錠「２５」　２５ｍｇ,3122002F2028
ベストン糖衣錠（２５ｍｇ）,3122006F2034
チアミン塩化物塩酸塩散　０．１％,3121001B1010
チアミン塩化物塩酸塩散　１％,3121001B5015
ハイコバールカプセル５００μｇ　０．５ｍｇ,3136001M2052
ハイボン細粒１０％,3131002C1024
ハイボン細粒２０％,3131002C2020
パントシン錠１００　１００ｍｇ,3133001F3090
パントシン錠６０　６０ｍｇ,3133001F2132
パントテン酸カルシウム,3133002X1012
ピリドキサール錠１０ｍｇ「イセイ」,3134003F1205
ピリドキサール錠３０ｍｇ「イセイ」,3134003F3143
